,reviewTimeInHours,asin,average_overall,median_overall
0,2004-09-18-00,B000CD3QY2,4.0,4.0
1,2004-09-29-00,B0002D0COE,5.0,5.0
2,2004-09-29-00,B002Q0WT6U,5.0,5.0
3,2004-11-29-00,B0002E2EOE,5.0,5.0
4,2004-11-29-00,B0002F73YY,5.0,5.0
5,2004-11-29-00,B000SZVYLQ,5.0,5.0
6,2004-12-01-00,B0002GXRF2,5.0,5.0
7,2005-01-28-00,B0006OHVK2,5.0,5.0
8,2005-03-11-00,B0002F4MKC,4.0,4.0
9,2005-03-25-00,B0002GXZK4,5.0,5.0
10,2005-09-28-00,B0002MSQVQ,5.0,5.0
11,2006-01-07-00,B000VJ2VCK,5.0,5.0
12,2006-02-26-00,B0000AQRST,5.0,5.0
13,2006-03-03-00,B0002GXF8Q,1.0,1.0
14,2006-05-15-00,B0000AQRST,5.0,5.0
15,2006-05-16-00,B0000AQRSU,4.0,4.0
16,2006-06-14-00,B000978D58,5.0,5.0
17,2006-06-24-00,B0002E1NNM,4.0,4.0
18,2006-07-29-00,B000BBRZ3S,5.0,5.0
19,2006-10-21-00,B000BBRZ3S,3.0,3.0
20,2006-12-18-00,B0007GGUGA,5.0,5.0
21,2007-01-27-00,B0002E1O90,5.0,5.0
22,2007-02-27-00,B0002E1O2C,5.0,5.0
23,2007-03-23-00,B0002CZR3G,4.0,4.0
24,2007-03-23-00,B0009DXEEM,4.0,4.0
25,2007-04-20-00,B002Q0WSO8,5.0,5.0
26,2007-09-25-00,B0006VMBHI,2.0,2.0
27,2007-09-28-00,B000EEHMXA,4.0,4.0
28,2007-10-15-00,B000B6DHAS,4.0,4.0
29,2007-10-16-00,B0002CZVI2,5.0,5.0
30,2007-10-17-00,B0002CZVA0,5.0,5.0
31,2007-10-20-00,B000VBH2IG,5.0,5.0
32,2007-11-12-00,B000VBH2IG,5.0,5.0
33,2007-11-28-00,B0002CZW0Y,5.0,5.0
34,2007-12-09-00,B0002E3CHC,5.0,5.0
35,2007-12-11-00,B0002D01K4,5.0,5.0
36,2007-12-12-00,B000VBH2IG,5.0,5.0
37,2007-12-13-00,B000BWEM42,5.0,5.0
38,2007-12-14-00,B0002GIRP2,5.0,5.0
39,2007-12-15-00,B0002F7K7Y,5.0,5.0
40,2007-12-18-00,B0002F519I,5.0,5.0
41,2007-12-20-00,B000VJ2VCK,4.0,4.0
42,2007-12-25-00,B000AAGM0M,5.0,5.0
43,2008-01-07-00,B0002T67J2,5.0,5.0
44,2008-01-08-00,B000KIPT30,4.0,4.0
45,2008-01-28-00,B000AAGM0M,5.0,5.0
46,2008-02-06-00,B0002MDTVS,5.0,5.0
47,2008-02-08-00,B000VBH2IG,4.0,4.0
48,2008-02-13-00,B0002E37MM,5.0,5.0
49,2008-02-24-00,B0002FO9QY,5.0,5.0
50,2008-03-05-00,B0002CZV46,3.0,3.0
51,2008-03-16-00,B000J5Y214,4.0,4.0
52,2008-03-16-00,B000J5Y282,4.0,4.0
53,2008-03-20-00,B0002M6CVC,5.0,5.0
54,2008-03-22-00,B000RW0O02,5.0,5.0
55,2008-03-22-00,B000T4SI1K,5.0,5.0
56,2008-04-16-00,B0002GLCRC,4.0,4.0
57,2008-04-22-00,B000BUDO48,5.0,5.0
58,2008-04-25-00,B0002E1O2C,5.0,5.0
59,2008-04-25-00,B00063678K,4.0,4.0
60,2008-04-30-00,B0002D0CQC,5.0,5.0
61,2008-05-02-00,B0002CZVB4,4.0,4.0
62,2008-05-02-00,B0002CZVK0,3.0,3.0
63,2008-05-02-00,B000BQTCDO,3.0,3.0
64,2008-05-03-00,B0002E1O3G,5.0,5.0
65,2008-06-04-00,B0002E1G5C,2.0,2.0
66,2008-06-26-00,B000CBE3G4,5.0,5.0
67,2008-07-06-00,B00004Y2UT,5.0,5.0
68,2008-07-06-00,B0002F7IN0,5.0,5.0
69,2008-07-06-00,B000J3L02U,5.0,5.0
70,2008-07-27-00,B0002E1O2W,5.0,5.0
71,2008-08-14-00,B0002D02RQ,5.0,5.0
72,2008-08-14-00,B0002D0CEO,5.0,5.0
73,2008-08-14-00,B0002E1O3G,4.0,4.0
74,2008-08-23-00,B0002CZV82,5.0,5.0
75,2008-08-23-00,B000BQTCDO,5.0,5.0
76,2008-08-24-00,B000BBRZ3S,4.0,4.0
77,2008-08-29-00,B000SJJCX4,4.0,4.0
78,2008-09-18-00,B0002E2XCW,5.0,5.0
79,2008-10-02-00,B00186L9X2,5.0,5.0
80,2008-10-03-00,B000LQLDM2,4.0,4.0
81,2008-10-11-00,B003FVB7XA,5.0,5.0
82,2008-10-17-00,B002Q0WSO8,5.0,5.0
83,2008-11-01-00,B0009G1E0K,5.0,5.0
84,2008-11-09-00,B00063678K,4.0,4.0
85,2008-11-09-00,B000A2HDXA,4.0,4.0
86,2008-11-09-00,B001AS6OYC,5.0,5.0
87,2008-11-11-00,B000RN53LQ,2.0,2.0
88,2008-11-14-00,B0002E1O7W,5.0,5.0
89,2008-11-14-00,B000T9NKEU,3.0,3.0
90,2008-11-24-00,B0002GLDQM,3.0,3.0
91,2008-11-28-00,B0002D0CKI,5.0,5.0
92,2008-11-28-00,B000T517Y4,4.0,4.0
93,2008-12-04-00,B000978D58,3.0,3.0
94,2008-12-13-00,B0000AQRST,4.0,4.0
95,2008-12-13-00,B0000AQRSU,4.0,4.0
96,2008-12-13-00,B0002E2S36,3.0,3.0
97,2008-12-13-00,B0002GLCRC,5.0,5.0
98,2008-12-13-00,B0002GLDQM,5.0,5.0
99,2008-12-14-00,B0002ZPK0S,5.0,5.0
100,2008-12-14-00,B0002ZPK5I,5.0,5.0
101,2008-12-15-00,B000068NZG,4.0,4.0
102,2008-12-17-00,B0002GXZK4,5.0,5.0
103,2008-12-19-00,B0002CZSJO,5.0,5.0
104,2008-12-19-00,B0002D0CQC,4.0,4.0
105,2008-12-28-00,B000B6DHB2,5.0,5.0
106,2009-01-01-00,B0002D0CLM,4.0,4.0
107,2009-01-01-00,B000BKY8CU,5.0,5.0
108,2009-01-03-00,B0002D0CKI,3.0,3.0
109,2009-01-08-00,B0002E528E,4.0,4.0
110,2009-01-10-00,B0009G1KEU,5.0,5.0
111,2009-01-11-00,B001E43SK0,3.0,3.0
112,2009-01-23-00,B001E43SK0,3.0,3.0
113,2009-02-09-00,B0002CZUUG,5.0,5.0
114,2009-02-14-00,B0006M59M6,4.0,4.0
115,2009-02-14-00,B000AAGM0M,3.0,3.0
116,2009-02-21-00,B003LTJ404,4.0,4.0
117,2009-02-22-00,B0002D0Q2W,4.0,4.0
118,2009-02-23-00,B000VBH2IG,5.0,5.0
119,2009-02-26-00,B0002GXZK4,5.0,5.0
120,2009-02-26-00,B000BU5V58,5.0,5.0
121,2009-03-05-00,B002Q0WSO8,5.0,5.0
122,2009-03-19-00,B000VBH2IG,5.0,5.0
123,2009-03-26-00,B0019H6750,5.0,5.0
124,2009-04-08-00,B001PGXJGU,4.0,4.0
125,2009-04-14-00,B0002GMGYA,5.0,5.0
126,2009-04-15-00,B000A6GTDG,5.0,5.0
127,2009-04-16-00,B0002D0N70,5.0,5.0
128,2009-04-23-00,B0002E1O2M,3.0,3.0
129,2009-05-13-00,B0002CZVK0,5.0,5.0
130,2009-05-13-00,B000J5XS3C,5.0,5.0
131,2009-05-13-00,B001E3SFKO,5.0,5.0
132,2009-05-19-00,B0002D0CQC,5.0,5.0
133,2009-05-19-00,B0002M6CW6,5.0,5.0
134,2009-05-21-00,B0002IHP0S,5.0,5.0
135,2009-05-21-00,B000Q87DAQ,4.0,4.0
136,2009-05-25-00,B0002M6CVC,5.0,5.0
137,2009-05-26-00,B000BBRZ3S,5.0,5.0
138,2009-06-06-00,B0002CZSJY,5.0,5.0
139,2009-06-06-00,B001EW5YQS,4.0,4.0
140,2009-06-07-00,B00009W40D,4.0,4.0
141,2009-06-10-00,B0002E3FCO,4.0,4.0
142,2009-06-14-00,B000LQLDM2,5.0,5.0
143,2009-06-14-00,B000N5MK8M,3.0,3.0
144,2009-06-15-00,B001J5RYXQ,4.0,4.0
145,2009-06-16-00,B0000AQRSU,5.0,5.0
146,2009-06-18-00,B000SZVYLQ,5.0,5.0
147,2009-06-26-00,B0000AQRSS,4.0,4.0
148,2009-06-29-00,B000P5LVSK,5.0,5.0
149,2009-07-05-00,B0002E2XCW,5.0,5.0
150,2009-07-08-00,B000W00X1Y,5.0,5.0
151,2009-07-10-00,B000CZ0RLK,4.0,4.0
152,2009-07-12-00,B000VBH2IG,5.0,5.0
153,2009-07-16-00,B000KW2YEI,5.0,5.0
154,2009-07-17-00,B0002E4Z8M,5.0,5.0
155,2009-07-20-00,B000KW2YEI,5.0,5.0
156,2009-07-21-00,B0002BACB4,5.0,5.0
157,2009-07-21-00,B000J5XS3C,5.0,5.0
158,2009-07-24-00,B000EELB8W,5.0,5.0
159,2009-07-27-00,B000OY4WA6,5.0,5.0
160,2009-08-09-00,B0002CZSJY,5.0,5.0
